DEBUG: General     , 1642895384830> LoggerManager.init                  > Initializing...
LOG  : Mod         , 1642895401369> mod "tsarslib" overrides media/lua/shared/translate/en/tooltip_en.txt
LOG  : Mod         , 1642895401370> mod "tsarslib" overrides media/lua/shared/translate/es/contextmenu_es.txt
LOG  : Mod         , 1642895401370> mod "tsarslib" overrides media/lua/shared/translate/es/ig_ui_es.txt
LOG  : Mod         , 1642895401371> mod "tsarslib" overrides media/lua/shared/translate/es/itemname_es.txt
LOG  : Mod         , 1642895401372> mod "tsarslib" overrides media/lua/shared/translate/es/recipes_es.txt
LOG  : Mod         , 1642895401372> mod "tsarslib" overrides media/lua/shared/translate/es/tooltip_es.txt
LOG  : Mod         , 1642895401373> mod "tsarslib" overrides media/lua/shared/translate/fr/contextmenu_fr.txt
LOG  : Mod         , 1642895401373> mod "tsarslib" overrides media/lua/shared/translate/fr/ig_ui_fr.txt
LOG  : Mod         , 1642895401374> mod "tsarslib" overrides media/lua/shared/translate/it/contextmenu_it.txt
LOG  : Mod         , 1642895401375> mod "tsarslib" overrides media/lua/shared/translate/it/ig_ui_it.txt
LOG  : Mod         , 1642895401375> mod "tsarslib" overrides media/lua/shared/translate/it/items_it.txt
LOG  : Mod         , 1642895401376> mod "tsarslib" overrides media/lua/shared/translate/it/recipes_it.txt
LOG  : Mod         , 1642895401377> mod "tsarslib" overrides media/lua/shared/translate/it/tooltip_it.txt
LOG  : Mod         , 1642895401378> mod "tsarslib" overrides media/lua/shared/translate/pl/contextmenu_pl.txt
LOG  : Mod         , 1642895401378> mod "tsarslib" overrides media/lua/shared/translate/pl/ig_ui_pl.txt
LOG  : Mod         , 1642895401379> mod "tsarslib" overrides media/lua/shared/translate/pl/items_pl.txt
LOG  : Mod         , 1642895401379> mod "tsarslib" overrides media/lua/shared/translate/pl/recipes_pl.txt
LOG  : Mod         , 1642895401380> mod "tsarslib" overrides media/lua/shared/translate/pl/tooltip_pl.txt
LOG  : Mod         , 1642895401380> mod "tsarslib" overrides media/lua/shared/translate/ru/contextmenu_ru.txt
LOG  : Mod         , 1642895401380> mod "tsarslib" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1642895401381> mod "tsarslib" overrides media/lua/shared/translate/ru/itemname_ru.txt
LOG  : Mod         , 1642895401381> mod "tsarslib" overrides media/lua/shared/translate/ru/recipes_ru.txt
LOG  : Mod         , 1642895401381> mod "tsarslib" overrides media/lua/shared/translate/ru/tooltip_ru.txt
LOG  : Mod         , 1642895401383> loading TMC_Trolley
LOG  : Mod         , 1642895401406> mod "TMC_Trolley" overrides changelog.txt
LOG  : Mod         , 1642895401406> mod "TMC_Trolley" overrides media/animsets/player/ext/bentdouble.xml
LOG  : Mod         , 1642895401407> mod "TMC_Trolley" overrides media/animsets/player/ext/bridgenose.xml
LOG  : Mod         , 1642895401407> mod "TMC_Trolley" overrides media/animsets/player/ext/chewnails.xml
LOG  : Mod         , 1642895401407> mod "TMC_Trolley" overrides media/animsets/player/ext/cough.xml
LOG  : Mod         , 1642895401408> mod "TMC_Trolley" overrides media/animsets/player/ext/ext01.xml
LOG  : Mod         , 1642895401408> mod "TMC_Trolley" overrides media/animsets/player/ext/ext02.xml
LOG  : Mod         , 1642895401408> mod "TMC_Trolley" overrides media/animsets/player/ext/ext03.xml
LOG  : Mod         , 1642895401408> mod "TMC_Trolley" overrides media/animsets/player/ext/ext04.xml
LOG  : Mod         , 1642895401409> mod "TMC_Trolley" overrides media/animsets/player/ext/ext05.xml
LOG  : Mod         , 1642895401410> mod "TMC_Trolley" overrides media/animsets/player/ext/ext_painhead.xml
LOG  : Mod         , 1642895401410> mod "TMC_Trolley" overrides media/animsets/player/ext/ext_painstomach.xml
LOG  : Mod         , 1642895401411> mod "TMC_Trolley" overrides media/animsets/player/ext/ext_wipearm.xml
LOG  : Mod         , 1642895401411> mod "TMC_Trolley" overrides media/animsets/player/ext/painarml.xml
LOG  : Mod         , 1642895401411> mod "TMC_Trolley" overrides media/animsets/player/ext/painarmr.xml
LOG  : Mod         , 1642895401411> mod "TMC_Trolley" overrides media/animsets/player/ext/painhandl.xml
LOG  : Mod         , 1642895401412> mod "TMC_Trolley" overrides media/animsets/player/ext/painhandr.xml
LOG  : Mod         , 1642895401412> mod "TMC_Trolley" overrides media/animsets/player/ext/painhead2.xml
LOG  : Mod         , 1642895401412> mod "TMC_Trolley" overrides media/animsets/player/ext/painlegl.xml
LOG  : Mod         , 1642895401412> mod "TMC_Trolley" overrides media/animsets/player/ext/painlegr.xml
LOG  : Mod         , 1642895401413> mod "TMC_Trolley" overrides media/animsets/player/ext/painstomach2.xml
LOG  : Mod         , 1642895401413> mod "TMC_Trolley" overrides media/animsets/player/ext/paintorso.xml
LOG  : Mod         , 1642895401413> mod "TMC_Trolley" overrides media/animsets/player/ext/pullatcolar.xml
LOG  : Mod         , 1642895401414> mod "TMC_Trolley" overrides media/animsets/player/ext/shiftweight.xml
LOG  : Mod         , 1642895401414> mod "TMC_Trolley" overrides media/animsets/player/ext/shiver.xml
LOG  : Mod         , 1642895401414> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakcough.xml
LOG  : Mod         , 1642895401414> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainarml.xml
LOG  : Mod         , 1642895401414> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainarmr.xml
LOG  : Mod         , 1642895401415> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainhandl.xml
LOG  : Mod         , 1642895401415> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainhead.xml
LOG  : Mod         , 1642895401415> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainlegl.xml
LOG  : Mod         , 1642895401415> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainlegr.xml
LOG  : Mod         , 1642895401416> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpainstomach.xml
LOG  : Mod         , 1642895401416> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpaintorso.xml
LOG  : Mod         , 1642895401416> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakpullatcollar.xml
LOG  : Mod         , 1642895401416> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakshiftweight.xml
LOG  : Mod         , 1642895401417> mod "TMC_Trolley" overrides media/animsets/player/ext/sneaksneeze.xml
LOG  : Mod         , 1642895401417> mod "TMC_Trolley" overrides media/animsets/player/ext/sneaksneeze2.xml
LOG  : Mod         , 1642895401417> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakwipearml.xml
LOG  : Mod         , 1642895401417> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakwipearmr.xml
LOG  : Mod         , 1642895401418> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakwipebrow.xml
LOG  : Mod         , 1642895401418> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakwipehead.xml
LOG  : Mod         , 1642895401418> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakwipelegl.xml
LOG  : Mod         , 1642895401418> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakwipelegr.xml
LOG  : Mod         , 1642895401419> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakwipetorso.xml
LOG  : Mod         , 1642895401419> mod "TMC_Trolley" overrides media/animsets/player/ext/sneakyawn.xml
LOG  : Mod         , 1642895401419> mod "TMC_Trolley" overrides media/animsets/player/ext/sneeze1.xml
LOG  : Mod         , 1642895401420> mod "TMC_Trolley" overrides media/animsets/player/ext/sneeze2.xml
LOG  : Mod         , 1642895401420> mod "TMC_Trolley" overrides media/animsets/player/ext/tiredstretch.xml
LOG  : Mod         , 1642895401421> mod "TMC_Trolley" overrides media/animsets/player/ext/wipearml.xml
LOG  : Mod         , 1642895401421> mod "TMC_Trolley" overrides media/animsets/player/ext/wipearmr.xml
LOG  : Mod         , 1642895401422> mod "TMC_Trolley" overrides media/animsets/player/ext/wipebrow.xml
LOG  : Mod         , 1642895401423> mod "TMC_Trolley" overrides media/animsets/player/ext/wipehead.xml
LOG  : Mod         , 1642895401424> mod "TMC_Trolley" overrides media/animsets/player/ext/wipelegl.xml
LOG  : Mod         , 1642895401424> mod "TMC_Trolley" overrides media/animsets/player/ext/wipelegr.xml
LOG  : Mod         , 1642895401425> mod "TMC_Trolley" overrides media/animsets/player/ext/wipetorso.xml
LOG  : Mod         , 1642895401425> mod "TMC_Trolley" overrides media/animsets/player/ext/wipetorso2.xml
LOG  : Mod         , 1642895401425> mod "TMC_Trolley" overrides media/animsets/player/ext/yawn.xml
LOG  : Mod         , 1642895401426> mod "TMC_Trolley" overrides media/animsets/player/movement/sneakwalklow.xml
LOG  : Mod         , 1642895401427> mod "TMC_Trolley" overrides media/animsets/player/strafe/straferifleslow.xml
LOG  : Mod         , 1642895401428> mod "TMC_Trolley" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1642895401428> mod "TMC_Trolley" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1642895401429> mod "TMC_Trolley" overrides media/lua/shared/translate/es/contextmenu_es.txt
LOG  : Mod         , 1642895401429> mod "TMC_Trolley" overrides media/lua/shared/translate/es/itemname_es.txt
LOG  : Mod         , 1642895401429> mod "TMC_Trolley" overrides media/lua/shared/translate/ru/contextmenu_ru.txt
LOG  : Mod         , 1642895401430> mod "TMC_Trolley" overrides media/lua/shared/translate/ru/itemname_ru.txt
LOG  : Mod         , 1642895401430> mod "TMC_Trolley" overrides preview.png
LOG  : Mod         , 1642895401431> loading modoptions
LOG  : Mod         , 1642895401432> loading TheStar
LOG  : Mod         , 1642895401434> mod "TheStar" overrides logo.png
LOG  : Mod         , 1642895401434> mod "TheStar" overrides logo_mini.png
LOG  : Mod         , 1642895401434> mod "TheStar" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1642895401435> mod "TheStar" overrides media/lua/shared/translate/en/tooltip_en.txt
LOG  : Mod         , 1642895401435> mod "TheStar" overrides media/lua/shared/translate/en/ui_en.txt
LOG  : Mod         , 1642895401435> mod "TheStar" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1642895401435> mod "TheStar" overrides media/lua/shared/translate/ru/tooltip_ru.txt
LOG  : Mod         , 1642895401435> mod "TheStar" overrides media/lua/shared/translate/ru/ui_ru.txt
LOG  : Mod         , 1642895401436> loading UndeadSuvivor
LOG  : Mod         , 1642895401440> mod "UndeadSuvivor" overrides media/clothing/clothing.xml
LOG  : Mod         , 1642895401441> mod "UndeadSuvivor" overrides media/fileguidtable.xml
LOG  : Mod         , 1642895401441> mod "UndeadSuvivor" overrides media/hairstyles/hairstyles.xml
LOG  : Mod         , 1642895401442> mod "UndeadSuvivor" overrides preview.png
LOG  : Mod         , 1642895401442> loading TMC_TrueActions
LOG  : Mod         , 1642895401445> mod "TMC_TrueActions" overrides changelog.txt
LOG  : Mod         , 1642895401446> mod "TMC_TrueActions" overrides preview.png
LOG  : Mod         , 1642895401447> loading Silencer
LOG  : Mod         , 1642895401448> mod "Silencer" overrides media/lua/shared/translate/cn/items_cn.txt
LOG  : Mod         , 1642895401449> mod "Silencer" overrides media/lua/shared/translate/cn/recipes_cn.txt
LOG  : Mod         , 1642895401449> mod "Silencer" overrides media/lua/shared/translate/cn/tooltip_cn.txt
LOG  : Mod         , 1642895401449> mod "Silencer" overrides media/lua/shared/translate/en/tooltip_en.txt
LOG  : Mod         , 1642895401450> loading ProfessionFrameworkB41Patch
LOG  : Mod         , 1642895401456> mod "ProfessionFrameworkB41Patch" overrides readme.txt
LOG  : Mod         , 1642895401458> loading Playable Instruments
LOG  : Mod         , 1642895401464> loading myclothinguimod
LOG  : Mod         , 1642895401531> mod "myclothinguimod" overrides .git/commit_editmsg
LOG  : Mod         , 1642895401533> mod "myclothinguimod" overrides .git/config
LOG  : Mod         , 1642895401534> mod "myclothinguimod" overrides .git/description
LOG  : Mod         , 1642895401534> mod "myclothinguimod" overrides .git/fetch_head
LOG  : Mod         , 1642895401535> mod "myclothinguimod" overrides .git/head
LOG  : Mod         , 1642895401535> mod "myclothinguimod" overrides .git/hooks/applypatch-msg.sample
LOG  : Mod         , 1642895401536> mod "myclothinguimod" overrides .git/hooks/commit-msg.sample
LOG  : Mod         , 1642895401536> mod "myclothinguimod" overrides .git/hooks/post-update.sample
LOG  : Mod         , 1642895401536> mod "myclothinguimod" overrides .git/hooks/pre-applypatch.sample
LOG  : Mod         , 1642895401537> mod "myclothinguimod" overrides .git/hooks/pre-commit.sample
LOG  : Mod         , 1642895401537> mod "myclothinguimod" overrides .git/hooks/pre-push.sample
LOG  : Mod         , 1642895401539> mod "myclothinguimod" overrides .git/hooks/pre-rebase.sample
LOG  : Mod         , 1642895401540> mod "myclothinguimod" overrides .git/hooks/prepare-commit-msg.sample
LOG  : Mod         , 1642895401542> mod "myclothinguimod" overrides .git/hooks/update.sample
LOG  : Mod         , 1642895401544> mod "myclothinguimod" overrides .git/index
LOG  : Mod         , 1642895401545> mod "myclothinguimod" overrides .git/info/exclude
LOG  : Mod         , 1642895401545> mod "myclothinguimod" overrides .git/logs/head
LOG  : Mod         , 1642895401546> mod "myclothinguimod" overrides .git/logs/refs/heads/master
LOG  : Mod         , 1642895401546> mod "myclothinguimod" overrides .git/logs/refs/remotes/origin/master
LOG  : Mod         , 1642895401550> mod "myclothinguimod" overrides .git/objects/4b/825dc642cb6eb9a060e54bf8d69288fbee4904
LOG  : Mod         , 1642895401556> mod "myclothinguimod" overrides .git/orig_head
LOG  : Mod         , 1642895401557> mod "myclothinguimod" overrides .git/refs/heads/master
LOG  : Mod         , 1642895401558> mod "myclothinguimod" overrides .git/refs/remotes/origin/master
LOG  : Mod         , 1642895401559> mod "myclothinguimod" overrides media/lua/shared/translate/cn/ui_cn.txt
LOG  : Mod         , 1642895401559> mod "myclothinguimod" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1642895401560> mod "myclothinguimod" overrides media/lua/shared/translate/en/ui_en.txt
LOG  : Mod         , 1642895401561> mod "myclothinguimod" overrides media/lua/shared/translate/ru/ui_ru.txt
LOG  : Mod         , 1642895401562> mod "myclothinguimod" overrides readme.md
LOG  : Mod         , 1642895401562> loading ModManager
LOG  : Mod         , 1642895401574> mod "ModManager" overrides changelog.txt
LOG  : Mod         , 1642895401575> mod "ModManager" overrides logo.png
LOG  : Mod         , 1642895401575> mod "ModManager" overrides media/lua/client/optionscreens/modselector.lua
LOG  : Mod         , 1642895401576> mod "ModManager" overrides media/lua/shared/translate/ch/ui_ch.txt
LOG  : Mod         , 1642895401577> mod "ModManager" overrides media/lua/shared/translate/cn/ui_cn.txt
LOG  : Mod         , 1642895401577> mod "ModManager" overrides media/lua/shared/translate/de/ui_de.txt
LOG  : Mod         , 1642895401578> mod "ModManager" overrides media/lua/shared/translate/en/ui_en.txt
LOG  : Mod         , 1642895401578> mod "ModManager" overrides media/lua/shared/translate/es/ui_es.txt
LOG  : Mod         , 1642895401578> mod "ModManager" overrides media/lua/shared/translate/fr/ui_fr.txt
LOG  : Mod         , 1642895401579> mod "ModManager" overrides media/lua/shared/translate/it/ui_it.txt
LOG  : Mod         , 1642895401579> mod "ModManager" overrides media/lua/shared/translate/ko/ui_ko.txt
LOG  : Mod         , 1642895401579> mod "ModManager" overrides media/lua/shared/translate/pl/ui_pl.txt
LOG  : Mod         , 1642895401580> mod "ModManager" overrides media/lua/shared/translate/ptbr/ui_ptbr.txt
LOG  : Mod         , 1642895401580> mod "ModManager" overrides media/lua/shared/translate/ru/ui_ru.txt
LOG  : Mod         , 1642895401581> mod "ModManager" overrides media/lua/shared/translate/tr/ui_tr.txt
LOG  : Mod         , 1642895401581> loading manageContainers
LOG  : Mod         , 1642895401682> mod "manageContainers" overrides .git/commit_editmsg
LOG  : Mod         , 1642895401683> mod "manageContainers" overrides .git/config
LOG  : Mod         , 1642895401684> mod "manageContainers" overrides .git/description
LOG  : Mod         , 1642895401684> mod "manageContainers" overrides .git/fetch_head
LOG  : Mod         , 1642895401684> mod "manageContainers" overrides .git/head
LOG  : Mod         , 1642895401685> mod "manageContainers" overrides .git/hooks/applypatch-msg.sample
LOG  : Mod         , 1642895401685> mod "manageContainers" overrides .git/hooks/commit-msg.sample
LOG  : Mod         , 1642895401685> mod "manageContainers" overrides .git/hooks/fsmonitor-watchman.sample
LOG  : Mod         , 1642895401685> mod "manageContainers" overrides .git/hooks/post-update.sample
LOG  : Mod         , 1642895401686> mod "manageContainers" overrides .git/hooks/pre-applypatch.sample
LOG  : Mod         , 1642895401686> mod "manageContainers" overrides .git/hooks/pre-commit.sample
LOG  : Mod         , 1642895401686> mod "manageContainers" overrides .git/hooks/pre-merge-commit.sample
LOG  : Mod         , 1642895401686> mod "manageContainers" overrides .git/hooks/pre-push.sample
LOG  : Mod         , 1642895401687> mod "manageContainers" overrides .git/hooks/pre-rebase.sample
LOG  : Mod         , 1642895401687> mod "manageContainers" overrides .git/hooks/pre-receive.sample
LOG  : Mod         , 1642895401688> mod "manageContainers" overrides .git/hooks/prepare-commit-msg.sample
LOG  : Mod         , 1642895401689> mod "manageContainers" overrides .git/hooks/push-to-checkout.sample
LOG  : Mod         , 1642895401690> mod "manageContainers" overrides .git/hooks/update.sample
LOG  : Mod         , 1642895401691> mod "manageContainers" overrides .git/index
LOG  : Mod         , 1642895401692> mod "manageContainers" overrides .git/info/exclude
LOG  : Mod         , 1642895401692> mod "manageContainers" overrides .git/logs/head
LOG  : Mod         , 1642895401693> mod "manageContainers" overrides .git/logs/refs/remotes/origin/head
LOG  : Mod         , 1642895401701> mod "manageContainers" overrides .git/orig_head
LOG  : Mod         , 1642895401702> mod "manageContainers" overrides .git/packed-refs
LOG  : Mod         , 1642895401702> mod "manageContainers" overrides .git/refs/remotes/origin/head
LOG  : Mod         , 1642895401702> mod "manageContainers" overrides .vscode/settings.json
LOG  : Mod         , 1642895401703> mod "manageContainers" overrides media/lua/shared/translate/af/contextmenu_af.txt
LOG  : Mod         , 1642895401703> mod "manageContainers" overrides media/lua/shared/translate/ar/contextmenu_ar.txt
LOG  : Mod         , 1642895401704> mod "manageContainers" overrides media/lua/shared/translate/ar/ui_ar.txt
LOG  : Mod         , 1642895401704> mod "manageContainers" overrides media/lua/shared/translate/ca/contextmenu_ca.txt
LOG  : Mod         , 1642895401705> mod "manageContainers" overrides media/lua/shared/translate/ca/ui_ca.txt
